"","x"
"1",24.6056345175982
"2",24.2505069611322
"3",26.4491073747279
"4",25.0130176337418
"5",24.4190117333609
"6",21.827823825039
"7",20.7560378059551
"8",20.3127178649295
"9",23.6475849322323
"10",23.8542315123752
"11",23.9397061762454
"12",23.9750608293865
"13",23.9896844785725
"14",25.168478649158
"15",19.7923329299572
"16",17.5686123731072
"17",16.6488208768877
"18",16.2683700176682
"19",16.1110051617462
"20",16.0459147636586
"21",16.0189915990272
"22",13.6623645829848
"23",13.8603447791871
"24",12.7694893599205
"25",12.3182817946733
"26",14.4771408951074
"27",15.3701039232174
"28",15.7394577960158
"29",15.8922326355743
"30",17.128169907934
"31",17.6393872861586
"32",17.8508407422874
"33",16.7655582309425
"34",16.3166557724677
"35",13.7854866068454
"36",13.9112714076231
"37",13.9632994332456
"38",12.8120742139425
"39",12.3358960522187
"40",12.1389357720747
"41",13.2302130564513
"42",12.5088496863405
"43",12.2104741141634
"44",13.2598032666529
"45",12.5210890046447
"46",12.2155366301621
"47",13.2618972614
"48",13.6947005682844
"49",13.8737198249899
"50",15.1205125043568
"51",14.4634745448299
"52",14.1917057175802
"53",14.079294715455
"54",14.0327984578575
"55",14.0135663370712
"56",13.4192386920293
"57",14.9325267073098
"58",15.5584639202829
"59",14.6446231999004
"60",17.7848700347673
"61",19.0837618068665
"62",19.6210188838883
"63",21.0159885002071
"64",18.0747497042346
"65",19.2036639474847
"66",22.0161045413172
"67",20.833915847421
"68",22.6904212083273
"69",22.2855770498109
"70",22.1181224597319
"71",20.876113242022
"72",22.7078752020843
"73",21.1200510675806
"74",20.463283681989
"75",22.5371176320575
"76",23.3949119380769
"77",23.749719067845
"78",25.0692224078582
"79",24.4422595614749
"80",25.3556760518947
"81",25.7334900347743
"82",24.7170187764173
"83",25.4693239599618
"84",24.6077524801402
"85",21.9058921476719
"86",23.1338198548354
"87",25.9872151189111
"88",28.3402026849039
"89",29.3134625431372
"90",28.5432839454845
"91",28.2247170632793
"92",29.2656945390242
"93",32.041762086474
"94",30.8445285081604
"95",30.3493200338181
"96",30.1444882971357
"97",30.0597643020384
"98",26.5064838551497
"99",28.5549864023875
"100",29.4023029490323
"101",30.9255216219168
"102",31.5555664258316
"103",30.6434247171377
"104",30.2661380187621
"105",33.6283182369329
"106",35.0190077117882
"107",29.7305076719673
"108",27.543039759509
"109",26.6382433461583
"110",26.263994862352
"111",24.9364500478539
"112",22.0418504301457
"113",24.3628013403475
"114",25.3228099636299
"115",21.0289140028093
"116",18.0800960447814
"117",16.860384479253
"118",18.701369356646
"119",20.6355963632302
"120",22.6083908585464
"121",23.4243924892328
"122",24.9346584584538
"123",23.2138548101646
"124",21.3293380390658
"125",20.5498504837612
"126",20.2274331626777
"127",20.0940725615657
"128",20.0389109782203
"129",21.1888400725506
"130",20.491736691343
"131",20.2033957125068
"132",22.4296208768726
"133",19.8322120562644
"134",18.7578528981222
"135",19.4862140668523
"136",22.1329749800284
"137",22.0550020799436
"138",23.1954957912668
"139",23.6672351084824
"140",23.8623593614245
"141",21.5975772158235
"142",20.6608015261369
"143",22.618816401644
"144",23.4287047783175
"145",21.4182058480454
"146",20.586608634301
"147",22.588128197238
"148",23.4160112996517
"149",21.4129554789294
"150",20.584436938379
"151",22.5872299245502
"152",21.0701488890028
"153",16.9244064885212
