"","x"
"1",30
"2",30
"3",30
"4",29.0567461021062
"5",29.5016100600521
"6",29.7366641868156
"7",27.9743526571485
"8",28.9297025331
"9",29.4344836618797
"10",28.7579425091131
"11",28.4004763960629
"12",29.1548548331564
"13",29.5534480696121
"14",29.7640539940873
"15",29.8753324889721
"16",28.9908751489372
"17",28.5235517256566
"18",29.2198845205631
"19",28.6445541060624
"20",26.4540572238013
"21",25.2966577027987
"22",24.6851189865992
"23",24.3619984092838
"24",27.0210318976712
"25",25.5962318411012
"26",24.8434058880707
"27",24.445632942356
"28",25.1787143352963
"29",25.5660547875543
"30",25.7707150441102
"31",24.9355981104021
"32",24.4943448281526
"33",24.2611984851233
"34",24.1380102405151
"35",25.0161747897514
"36",26.4234271698518
"37",27.1669814035272
"38",26.6166015247039
"39",26.3257956288918
"40",27.1153955283511
"41",27.5325988363397
"42",26.8097839231972
"43",26.4278680021934
"44",26.2260739217669
"45",26.1194513678075
"46",26.0631148836609
"47",26.0333482036468
"48",26.017620292108
"49",26.0093100875015
"50",26.0049191993388
"51",25.0593452744695
"52",23.6164755968963
"53",21.9108482451911
"54",21.009640717411
"55",23.3632286400074
"56",24.6068010715913
"57",24.320617333579
"58",24.1694055587636
"59",25.0327632298431
"60",24.5456842587677
"61",24.2883248567167
"62",24.1523430842378
"63",22.1939861844379
"64",21.1592431742397
"65",20.6125128528855
"66",23.1533969785699
"67",23.5526777785362
"68",23.7636469930413
"69",23.8751174405877
"70",23.93401542106
"71",22.0786277309153
"72",22.984798671975
"73",23.4635949768783
"74",23.716578041333
"75",21.963739679176
"76",22.9240949215479
"77",23.4315207510548
"78",23.6996308847744
"79",21.0115313604646
"80",20.5344659111646
"81",20.2823973841659
"82",20.1492111674811
"83",20.0788391598132
"84",20.041656487413
"85",20.0220101653505
"86",20.0116295782205
"87",20.0061447557268
"88",20.0032467233313
"89",21.8882232769002
"90",22.8841940896729
"91",23.4104382267774
"92",23.6884914470981
"93",23.8354072754741
"94",23.9130336399611
"95",23.9540493190073
"96",23.9757208984859
"97",23.9871715770562
"98",23.993221807029
"99",23.9964185854993
"100",23.9981076770932
"101",23.9990001475721
"102",23.9994717049221
"103",23.9997208631178
"104",23.9998525115939
"105",23.9999220711009
"106",23.9999588244698
"107",23.9999782439595
"108",23.9999885046945
"109",23.9999939261904
"110",23.9999967907627
"111",23.9999983043255
"112",23.9999991040513
"113",23.056745628711
"114",23.5016098099229
"115",21.8501562588663
"116",20.9775727074222
"117",22.4030308698346
"118",23.1562045482569
"119",23.5541612226978
"120",23.7644308049591
"121",23.8755315856821
"122",23.9342342441671
"123",23.9652511469358
"124",22.0951318466982
"125",21.1070112061984
"126",20.584914888569
"127",20.3090532642796
"128",20.1632954161853
"129",20.0862808972728
"130",20.0455885009396
"131",20.0240877353344
"132",21.8992351059993
"133",21.003504647624
"134",20.530224812411
"135",20.2801565018777
"136",20.1480271456695
"137",21.9647213503837
"138",22.9246136101591
"139",21.5452870163511
"140",20.8164880155821
"141",20.4314102639414
"142",20.2279455574143
"143",20.120440289645
"144",20.0636374033094
"145",20.0336242889477
"146",20.0177661681408
"147",20.0093871644661
"148",20.0049599247297
"149",20.0026206905624
"150",20.0013847022683
"151",20.0007316393623
