"","x"
"1",31.8457423570844
"2",30.9289718091936
"3",30.7578230647233
"4",30.6570364999791
"5",30.6179917919774
"6",30.0045620252867
"7",30.4204612011947
"8",29.9142024964365
"9",28.8535906301089
"10",27.9040182162629
"11",27.0630782442931
"12",26.9550318584134
"13",26.9055432739536
"14",26.9069512768345
"15",26.9519677954887
"16",26.405864756409
"17",25.9319976414429
"18",24.5849681931673
"19",23.9932192255011
"20",24.1139322562903
"21",24.2724490484716
"22",23.2053997674
"23",22.2453262302166
"24",21.3905504682623
"25",20.6381427045679
"26",20.6120046978558
"27",20.0097233316418
"28",19.4933111616579
"29",19.0578203062632
"30",19.3257263769917
"31",19.6215808211816
"32",19.9372021104991
"33",19.6374339926248
"34",19.3856086706533
"35",19.1784466472802
"36",19.0125041378584
"37",18.8842453083048
"38",18.7901055010747
"39",19.354408926993
"40",19.2760652816895
"41",18.4343341257665
"42",19.0768522048397
"43",19.0694852935599
"44",19.0763500928587
"45",19.7231801417682
"46",20.3382180157916
"47",20.9172923728447
"48",21.457336929428
"49",21.3284130002639
"50",20.2572895352918
"51",19.250497004759
"52",19.8827666376721
"53",18.9134052701082
"54",18.0128776372581
"55",16.8701775769575
"56",15.821676616006
"57",16.1244999632082
"58",16.4389716949774
"59",15.817179629495
"60",14.6305792384239
"61",15.1174983557248
"62",14.9761766008877
"63",14.8695371746686
"64",14.7941378034426
"65",14.4326537530678
"66",14.116662250386
"67",13.8441425404611
"68",13.9266782497731
"69",14.0267939913177
"70",13.8266297324176
"71",13.9714364470914
"72",13.8103652837667
"73",13.6749813507064
"74",13.5635340251566
"75",13.4741836412823
"76",13.4050402624998
"77",13.3541976290758
"78",13.3197624891442
"79",13.299879556957
"80",13.2927523693013
"81",13.2966603304264
"82",13.6239037915395
"83",13.938071017955
"84",14.2365794927387
"85",14.2035057327861
"86",14.1722725367511
"87",14.1430594519754
"88",14.1159917734811
"89",14.0911465166402
"90",14.0685582207633
"91",14.0482245255503
"92",14.0301114738558
"93",14.014158504743
"94",14.3142146535299
"95",14.909231027843
"96",15.4630552314688
"97",15.3458621963668
"98",15.2263419128442
"99",15.4204511309173
"100",15.9089813918797
"101",16.3573655527023
"102",16.7649856913516
"103",17.4458210462775
"104",18.0656089196191
"105",18.3103568606983
"106",18.8296900184723
"107",18.9775060115152
"108",19.0903683205354
"109",19.1716698290361
"110",19.5386974770421
"111",19.8598467189799
"112",20.1371203574729
"113",20.0589250968805
"114",20.2766654354967
"115",20.4593933856566
"116",20.6095206451779
"117",20.7295762692543
"118",21.7639487199467
"119",21.7688151380207
"120",23.317591047141
"121",24.7398476926919
"122",24.4638498712428
"123",26.3615604134567
"124",26.840738101182
"125",27.2395801939086
"126",27.2499780702338
"127",27.5267903431758
"128",28.056379563754
"129",28.5095438900633
"130",28.2629152882774
"131",28.3050578249427
"132",27.9946022145023
"133",27.6719011717478
"134",27.3432740674559
"135",27.0142217903678
"136",27.0033972572193
"137",29.8052903749257
"138",31.7802569893089
"139",33.5896181228798
"140",35.2313949710117
"141",35.1366072344012
"142",34.9826010599925
"143",36.9775350803824
"144",38.1591910430928
"145",38.2563826767498
"146",38.2794082539627
"147",39.8081904120286
"148",40.5501688067155
"149",41.1783987587965
"150",42.3280886713112
"151",43.3372814503887
"152",44.2117462632018
"153",44.3304736137604
