"","x"
"1",29.9700000185536
"2",30.4033925069906
"3",32.8413263551819
"4",33.0050573257447
"5",33.3448570714081
"6",31.3521721920052
"7",34.4495299463591
"8",31.2318713652023
"9",29.1299551824824
"10",28.3093424995568
"11",27.5825088329014
"12",29.2872043526462
"13",29.2661474709686
"14",29.5445973694035
"15",29.6680724524465
"16",27.5972201539143
"17",27.3490352792931
"18",23.6243233532874
"19",25.0707773000665
"20",26.5995016944527
"21",26.8656211896326
"22",22.896968709616
"23",22.4828104603821
"24",21.6229305924168
"25",21.160444622381
"26",22.9782633100341
"27",20.8793946394831
"28",20.9048186912669
"29",20.5616392622211
"30",22.5835615217187
"31",22.7722832562627
"32",23.2001994396404
"33",21.2531522208756
"34",21.1129295503117
"35",20.7198065529967
"36",20.5166691564191
"37",20.357498475662
"38",20.2505100628208
"39",22.3490348530227
"40",20.4383818345936
"41",17.8793339357733
"42",22.1256000696136
"43",19.9355850413892
"44",20.3299012144275
"45",22.3139532306847
"46",22.6100528160322
"47",23.0805784907089
"48",23.3453938818834
"49",21.3715368355062
"50",17.9301121474681
"51",17.0398905610431
"52",21.4874979686498
"53",16.2410422932734
"54",16.288543012162
"55",14.3362536523935
"56",13.791262978676
"57",17.5610309182803
"58",17.8372727613129
"59",15.3391892807983
"60",13.0856244785356
"61",17.7465568980567
"62",15.6284115293302
"63",16.1256248939183
"64",15.9945277534324
"65",14.9316056337705
"66",14.7623630977504
"67",14.5054431917691
"68",15.4466998838762
"69",15.4948214144911
"70",14.5887600091431
"71",15.6085401629513
"72",14.4956426175835
"73",14.4981289971862
"74",14.3111443955274
"75",14.2262185289751
"76",14.1558483829415
"77",14.1093735392418
"78",14.0762657641445
"79",14.0532983356755
"80",14.0372188199299
"81",14.025997263709
"82",15.1052890936725
"83",15.2579463766406
"84",15.5100632733511
"85",14.5638108232238
"86",14.5125971778841
"87",14.3292710306665
"88",14.236937783638
"89",14.1638050659434
"90",14.1148171781497
"91",14.080095390593
"92",14.055966477464
"93",14.0390839946755
"94",15.114431348642
"95",16.3514630833648
"96",16.7597872317945
"97",14.9809994058713
"98",14.9142643101636
"99",15.6702571466283
"100",16.7530977068955
"101",17.0370614110121
"102",17.3497109018334
"103",18.627546561117
"104",18.9255718086958
"105",18.1904688662832
"106",19.3305229590102
"107",18.3014206358969
"108",18.3624846100453
"109",18.2164012098261
"110",19.2471774992321
"111",19.3548941609412
"112",19.5782977636423
"113",18.6113430146284
"114",19.6329583045698
"115",19.5977369701845
"116",19.7543502568867
"117",19.8198802411825
"118",23.1376588391773
"119",20.387473403472
"120",26.142891317948
"121",26.6146233292266
"122",22.367150575608
"123",29.8084783268076
"124",25.7719520680667
"125",26.5396801276669
"126",25.1206484312565
"127",26.0279306662467
"128",26.9512384023941
"129",27.1879591978591
"130",25.277815174094
"131",26.2092492696546
"132",24.8863017107535
"133",24.7779804534827
"134",24.5049135033523
"135",24.3619662632507
"136",25.3376939321085
"137",35.2050003454893
"138",34.656801629724
"139",36.7506555534561
"140",37.6136967625753
"141",32.9258956696541
"142",32.6224655734136
"143",39.3014859623046
"144",37.7579643005654
"145",35.5971893146844
"146",35.3642420222949
"147",40.3283274307347
"148",38.6901080263944
"149",39.4576196725485
"150",41.705284025707
"151",42.1847886544839
"152",42.7835865590318
"153",40.9636882941153
