"","x"
"1",23.9760000136636
"2",24.2514052425583
"3",27.0905212355714
"4",23.9357143084189
"5",24.6578549479731
"6",21.2825498324983
"7",21.4678876156049
"8",20.7256514155949
"9",24.8478870993809
"10",22.9809527439002
"11",23.9120456911731
"12",23.7311997119311
"13",23.9022769912641
"14",25.3370938194753
"15",18.1626869502144
"16",18.8503161333418
"17",17.3306199201153
"18",17.0614237874962
"19",16.6211360226979
"20",16.4311112532876
"21",16.2715808268799
"22",13.3220474983485
"23",14.828187100535
"24",12.6449027539457
"25",12.8604557343757
"26",15.2583438243408
"27",15.0374664557895
"28",15.5479474078056
"29",15.6407901930845
"30",17.2186576053847
"31",17.2127766618343
"32",17.5884820081121
"33",16.265006156316
"34",16.4555443510079
"35",13.334815434429
"36",14.8758297010289
"37",14.0908322621896
"38",12.8061143515129
"39",12.7301035531527
"40",12.4011430907813
"41",13.7183717450426
"42",12.107950496896
"43",12.4417931239196
"44",13.5811693179794
"45",12.0785208417458
"46",12.4005799468504
"47",13.5623699520393
"48",13.4925796496
"49",13.7505332892709
"50",15.2367313876175
"51",13.8149013187091
"52",14.242973235187
"53",14.0250641485174
"54",14.065264975274
"55",14.024618669345
"56",13.3079945697619
"57",15.476871253562
"58",15.2068646670048
"59",14.21927226006
"60",18.6390625412618
"61",18.2290483052157
"62",19.1691419369659
"63",20.7686229086399
"64",16.6837078369225
"65",20.1941902552778
"66",22.1208069698169
"67",19.6949454389629
"68",23.2787507545202
"69",21.3352505188029
"70",22.1161501017671
"71",20.4448738569715
"72",23.4916363515168
"73",20.1460817735009
"74",20.876791550745
"75",23.1437008194504
"76",23.0086590437102
"77",23.5123074020372
"78",25.0530104859148
"79",23.705497528316
"80",25.5970931635965
"81",25.3362432002993
"82",24.2849455413304
"83",25.8301859732186
"84",24.1120664436466
"85",21.61114965924
"86",24.3018141501687
"87",26.373337687777
"88",28.0805897196596
"89",28.5848772633587
"90",27.7078290195656
"91",28.0565131003395
"92",29.3755275851011
"93",32.2155317544772
"94",29.5261739453028
"95",30.3946848348398
"96",29.9993006969558
"97",30.0941984651708
"98",25.7388717686918
"99",30.2416141509884
"100",29.0497994634981
"101",31.2159190966029
"102",31.0706460828317
"103",30.1179882060025
"104",30.2897388904498
"105",34.3987408609531
"106",34.1773238942155
"107",27.950500995644
"108",28.5123908745186
"109",27.183442743454
"110",26.9386033975825
"111",25.1216069034943
"112",22.1643355796131
"113",26.1304066081321
"114",25.1198248285547
"115",20.0629012783098
"116",18.8622595258258
"117",17.7885106237678
"118",20.0535055661251
"119",20.9156199151019
"120",22.6542928136709
"121",22.878288394191
"122",24.7873320826638
"123",22.0487627983346
"124",21.2512894792888
"125",20.8470767351347
"126",20.5409964710444
"127",20.3569766414755
"128",20.2312586035423
"129",21.5806516066361
"130",20.0280189017827
"131",20.3860449026286
"132",22.9754240029744
"133",18.5554247577278
"134",19.3484837447632
"135",19.9469261695046
"136",22.6875906167696
"137",21.2268242295527
"138",23.3731004411416
"139",23.1578388861227
"140",23.6097435581767
"141",20.8286532297759
"142",21.0998180525384
"143",23.3705963792462
"144",23.1267478592524
"145",20.7417115735028
"146",20.9594887958866
"147",23.3097579455363
"148",23.0758240269054
"149",20.7126290405466
"150",20.9390101974371
"151",23.2969584163261
"152",20.208712672989
"153",16.5602607244928
