"","x"
"1",29.9013028057432
"2",29.9478400822017
"3",29.9724343022595
"4",29.9854319614755
"5",29.9923010203315
"6",29.0528998137422
"7",29.4994724193134
"8",29.7354790309799
"9",27.9741420276452
"10",28.9293658638966
"11",29.4341866660783
"12",28.7579451388998
"13",28.4005621075482
"14",29.1547221821055
"15",29.5532839425673
"16",29.7639175762766
"17",29.8752341451269
"18",28.9910318079337
"19",28.5237447530958
"20",29.2198222765339
"21",28.6446569241567
"22",26.4546282717496
"23",25.2972325084196
"24",24.6855670165084
"25",24.3623114060693
"26",27.0205700795662
"27",25.5963238695935
"28",24.8436321056984
"29",24.4458463243717
"30",25.1786541798169
"31",25.5659316276689
"32",25.7706016793071
"33",24.9357351922873
"34",24.494521359783
"35",24.2613467755593
"36",24.138117668214
"37",25.0160244158178
"38",26.4230157467499
"39",27.1665885779423
"40",26.6165237501233
"41",26.3258231236385
"42",27.1152238023753
"43",27.5324096689327
"44",26.8098544539859
"45",26.4279953656893
"46",26.2261888320179
"47",26.1195372469681
"48",26.0631735585053
"49",26.03338623396
"50",26.0176441005447
"51",26.0093246301576
"52",26.0049279206586
"53",25.0595729323457
"54",23.6169362650136
"55",21.9114940367379
"56",21.0101945914357
"57",23.3629661724445
"58",24.6063690187725
"59",24.3204565075304
"60",24.1693562336454
"61",25.0325335072596
"62",24.5456777496883
"63",24.288382124562
"64",24.1524054257561
"65",22.1944810822982
"66",21.1597488026323
"67",20.612909036244
"68",23.1530069931865
"69",23.552377492149
"70",23.7634385314601
"71",23.8749809774615
"72",23.9339294091597
"73",22.0790199372032
"74",22.9847921927055
"75",23.4634786107612
"76",23.7164568681974
"77",21.964089113228
"78",22.9240530564396
"79",23.4313789307387
"80",23.6994926912121
"81",21.0120924156351
"82",20.5348749536527
"83",20.2826730164414
"84",20.149388251737
"85",20.0789493459191
"86",20.0417234899571
"87",20.0220502094594
"88",20.0116531895511
"89",20.0061585277439
"90",20.003254685235
"91",21.8877828427799
"92",22.8837263903774
"93",23.4100669207801
"94",23.6882296285088
"95",23.8352342528948
"96",23.9129238891775
"97",23.9539816423669
"98",23.9756800203954
"99",23.9871472725584
"100",23.9932075353116
"101",23.9964102890415
"102",23.9981028941104
"103",23.9989974093184
"104",23.9994701465636
"105",23.9997199807766
"106",23.9998520142362
"107",23.999921791847
"108",23.9999586682188
"109",23.9999781568025
"110",23.999988456213
"111",23.9999938992898
"112",23.9999967758704
"113",23.9999982960981
"114",23.9999990995146
"115",23.0569681277447
"116",23.5016224593985
"117",21.8505525006873
"118",20.9779879463043
"119",22.4029140697154
"120",23.1559651571894
"121",23.5539408353867
"122",23.7642647338196
"123",23.8754176124386
"124",23.9341601638907
"125",23.965204680182
"126",22.0955484269735
"127",21.107464447356
"128",20.5852775752498
"129",20.3093100107259
"130",20.163465485064
"131",20.0863889427455
"132",20.0456552000917
"133",20.0241280565448
"134",21.8988140918432
"135",21.0034934396109
"136",20.5303305298123
"137",20.2802713597809
"138",20.1481190138935
"139",21.9643413663694
"140",22.9241863682649
"141",21.5453865912197
"142",20.8167125537005
"143",20.4316197637288
"144",20.2281042694853
"145",20.1205495256008
"146",20.0637085318717
"147",20.0336689589861
"148",20.0177935162827
"149",20.0094035940296
"150",20.0049696518253
"151",20.0026263829752
"152",20.0013880021729
"153",20.0007335373593
