"","x"
"1",29.9699365656218
"2",29.9430689362223
"3",29.9256191881162
"4",29.908634690759
"5",29.8164584130692
"6",28.6524505878411
"7",29.7200874130906
"8",29.6556691655321
"9",27.3826419354982
"10",29.4991593404591
"11",29.5074972434529
"12",28.3825188076653
"13",28.3166162282524
"14",29.3878405298618
"15",29.4199059574421
"16",29.4476885133289
"17",29.4673944903691
"18",28.3569626364586
"19",28.2887354414654
"20",29.3525849131615
"21",28.2518867287952
"22",25.934331154348
"23",25.7026150230413
"24",25.4949751594923
"25",25.311199920013
"26",28.5243487396751
"27",25.2581317668329
"28",25.0965105684673
"29",24.9517010917363
"30",25.9481611223961
"31",25.9192900096608
"32",25.8931538155132
"33",24.7431533513081
"34",24.6339483389554
"35",24.5357915531201
"36",24.4476372051553
"37",25.4949315406324
"38",26.638347140697
"39",26.7416650060988
"40",25.7080745111692
"41",25.7034528021192
"42",26.8257595374848
"43",26.9101510946197
"44",25.8595593419513
"45",25.8396163730365
"46",25.8216859224886
"47",25.8055648638456
"48",25.7910705880571
"49",25.778038925705
"50",25.766322281313
"51",25.7557879575985
"52",25.746314082868
"53",24.6113367181357
"54",23.3890592068603
"55",22.0882938927965
"56",21.8434223492292
"57",25.0026354881006
"58",25.0691729812473
"59",24.0025382570864
"60",23.9681642794059
"61",25.0637159131387
"62",23.9976320902378
"63",23.9637527815374
"64",23.9332922380544
"65",21.6529921716054
"66",21.4520508170926
"67",21.2713891935745
"68",24.4883306297912
"69",23.4803158728165
"70",23.4986450442093
"71",23.5151243970649
"72",23.5299405469471
"73",21.2903479054154
"74",23.3789190569892
"75",23.4074813541249
"76",23.433161060512
"77",21.2033355850114
"78",23.300688147807
"79",23.3371456382983
"80",23.3699237539764
"81",20.0200235099328
"82",20.9084977035968
"83",20.7826922407757
"84",20.6695832856177
"85",20.5678894841455
"86",20.4764587989408
"87",20.3942554582685
"88",20.3203482223251
"89",20.2538998336817
"90",20.1941575339921
"91",22.3933580881279
"92",22.5213849054754
"93",22.6364910329329
"94",22.7399804491127
"95",22.8330255328167
"96",22.9166803443229
"97",22.9918925662997
"98",23.0595142396222
"99",23.1203114157102
"100",23.1749728347351
"101",23.2241177280067
"102",23.2683028329294
"103",23.3080286999967
"104",23.3437453632723
"105",23.3758574385966
"106",23.4047287072735
"107",23.4306862371626
"108",23.4540240878646
"109",23.4750066419723
"110",23.4938716001259
"111",23.5108326738025
"112",23.5260820063439
"113",23.5397923496509
"114",23.5521190211963
"115",22.4367448854138
"116",23.4850063209824
"117",21.2499485377972
"118",21.0896832644731
"119",23.1985057983057
"120",23.2452757037909
"121",23.2873255088515
"122",23.3251315742541
"123",23.3591221856054
"124",23.3896824051824
"125",23.4171584341043
"126",21.1889479779892
"127",21.0348389875388
"128",20.8962829451577
"129",20.7717102202035
"130",20.659709591896
"131",20.5590122623168
"132",20.4684774828462
"133",20.3870796312049
"134",22.5668101489841
"135",20.4244183247387
"136",20.3474670001688
"137",20.2782817374711
"138",20.216078772138
"139",22.413066994825
"140",22.5391047540943
"141",20.3995090066171
"142",20.3250715738718
"143",20.2581464966517
"144",20.1979756149362
"145",20.1438772835363
"146",20.0952386500841
"147",20.0515087123416
"148",20.0121920761772
"149",19.9768433434995
"150",19.9450620665687
"151",19.9164882115296
"152",19.8907980797714
"153",19.8677006409116
