"","x"
"1",26
"2",26
"3",26
"4",27.6975916584887
"5",26.2566829390035
"6",24.3412198724504
"7",24.0515938678592
"8",24.0078012080057
"9",24.0011795751874
"10",24.0001783566881
"11",24.0000269682751
"12",32.4879623701592
"13",33.7713736040286
"14",30.5702474184069
"15",30.0862237880258
"16",30.0130373963678
"17",31.6995629671953
"18",30.2569810091018
"19",31.7364482588699
"20",31.9601498775312
"21",31.9939744952776
"22",31.9990889185551
"23",31.9998622406856
"24",31.9999791702171
"25",31.9999968504499
"26",30.3024078652862
"27",30.0457253305006
"28",30.0069138606809
"29",30.001045404571
"30",30.0001580695313
"31",30.0000239007724
"32",30.0000036138965
"33",30.0000005464362
"34",30.0000000826234
"35",30.000000012493
"36",30.000000001889
"37",30.0000000002856
"38",30.0000000000432
"39",30.0000000000065
"40",30.000000000001
"41",30.0000000000001
"42",30
"43",28.3024083415113
"44",29.7433170609965
"45",29.9611884690609
"46",28.2965398761599
"47",28.0448380660707
"48",28.0067797025985
"49",28.0010251193094
"50",26.3025633438264
"51",24.3481571810156
"52",25.7502344763368
"53",25.9622344111112
"54",25.994289685449
"55",24.3015449181348
"56",24.0455948492922
"57",25.7044857898667
"58",25.9553170189103
"59",24.2956520884087
"60",24.04470382886
"61",24.0067594053724
"62",24.0010220502841
"63",22.302562879777
"64",22.0457487693381
"65",20.3093257462421
"66",20.0467713429539
"67",20.0070720221265
"68",20.0010693192412
"69",20.0001616855291
"70",18.3024327890376
"71",19.7433207575645
"72",21.6587806864861
"73",21.9484062166543
"74",21.9921988047731
"75",20.3012287682561
"76",23.4407303630893
"77",23.9154360983221
"78",23.9872135853709
"79",20.6028833238016
"80",21.7887501315265
"81",20.2704664803265
"82",20.040895659875
"83",20.0061835943389
"84",20.0009349852543
"85",20.00014137367
"86",20.0000213762885
"87",16.6048199152066
"88",16.0914512937353
"89",17.7114194755225
"90",17.9563654211002
"91",17.9934022696812
"92",17.9990023956583
"93",17.9998491580628
"94",17.99997719207
"95",17.9999965513459
"96",17.9999994785491
"97",17.9999999211545
"98",17.9999999880782
"99",16.3024083397087
"100",16.0457254022352
"101",17.7045055300162
"102",17.9553200037032
"103",19.6908358566993
"104",18.2556614335961
"105",18.0386570750611
"106",23.9474159156889
"107",25.6896407256255
"108",25.9530723832819
"109",29.388087665606
"110",29.9074763029028
"111",29.9860100311052
"112",29.9978846583544
"113",28.3020884930319
"114",28.0456770400837
"115",31.4020898759459
"116",26.8168185200398
"117",31.2162813424466
"118",33.5790901287676
"119",33.9363566719574
"120",33.9903768633592
"121",33.9985449416042
"122",33.9997799891019
"123",28.9071917579684
"124",26.4395795189913
"125",32.8568328906051
"126",33.8271483651888
"127",35.6714557703833
"128",34.2527310837155
"129",37.4333973109148
"130",39.6119189687377
"131",39.941320529482
"132",39.99112741932
"133",43.3938417457732
"134",43.908346343823
"135",45.6837332434097
"136",45.9521791473322
"137",45.9927692876275
"138",45.9989066861318
"139",45.9998346863832
"140",45.9999750038917
"141",45.9999962204842
"142",45.9999994285214
"143",45.9999999135901
"144",51.0927749624006
"145",53.5604154489897
"146",62.4214912749311
"147",56.9709562632405
"148",54.4492209781346
"149",50.6727407685074
"150",50.1017212100357
"151",50.0153806712117
